ΚΩΔ. ΣΧΟΛΗΣ,ΟΝΟΜΑ ΣΧΟΛΗΣ,ΝΕΟΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ ΚΑΙ ΛΟΓΟΤΕΧΝΙΑ,ΦΥΣΙΚΗ,ΧΗΜΕΙΑ,ΒΙΟΛΟΓΙΑ
279,ΒΙΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,20%,27%,33%
273,ΓΕΏΠΟΝΙΑΣ {ΘΕΣΣΑΛΟΝΙΚΗ) -ΑΠΘ,20%,20%,30%,30%
275,ΔΑΣΟΛΟΓΙΑΣ ΚΑΙ ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ {ΘΕΣΣΑΛΟΝΙΚΗ),20%,20%,30%,30%
403,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΘΕΣΣΑΛΟΝΙΚΗ),30%,25%,20%,25%
402,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΣΕΡΡΕΣ),30%,25%,20%,25%
134,ΕΠΙΣΤΗΜΏΝ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΕΚlΑΙΔΕΥΣΗΣ {ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
168,ΘΕΑΤΡΟΥ {ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
297,ΙΑΤΡΙΚΗΣ {ΘΕΣΣΑΛCΝΙΚΗ),25%,25%,25%,25%
163,ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
307,ΚΤΗΝΙΑΤΡΙΚΗΣ {ΘΕΣΣΑΛΟΝΙΚΗ),20%,20%,27%,33%
406,ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,20%,Μ.Εκτ.Ερμ. 25%,Μ.Αvτ.Θ. και Αρμ. 30%
305,ΟΔΟΝΤΙΑΤΡΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,25%,25%,30%
140,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
291,ΦΑΡΜΑΚΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%
265,ΧΗΜΕΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),20%,25%,35%,20%
326,ΑΓΡΟΤΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ (ΑΘΗ ΝΑ),25%,25%,25%,25%
327,ΑΞΙΟΠΟΙΗΣΗΣ ΦΥΣΙΚΩΝ ΠΟΡΩΝ ΚΑΙ ΓΕΩΡΓΙΚΗΣ ΜΗΧΑΝΙΚΗΣ (ΑΘΗΝΑ),20%,35%,25%,20%
325,ΒΙΟΤΕΧΝΟΛΟΓΙΑΣ (ΑΘΗΝΑ),20%,25%,25%,30%
1061,ΔΑΣΟΛΟΓΙΑΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΚΑΡΠΕΝΗΣΙ),25%,25%,25%,25%
