ΚΩΔ. ΣΧΟΛΗΣ,ΟΝΟΜΑ ΣΧΟΛΗΣ,ΝΕΟΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ ΚΑΙ ΛΟΓΟΤΕΧΝΙΑ,ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΑ,ΙΣΤΟΡΙΑ,ΛΑΤΙΝΙΚΑ,ΕΙΔΙΚΟ ή ΜΟΥΣΙΚΟΜΑΘΗΜΑ
413,ΠΡΟΓΡΑΜΜΑ ΙΕΡΑΤΙΚΩΝ ΣΠΟΥΔΩΝ ΑΘΗΝΑΣ,25%,25%,30%,20%,
129,ΑΓΓΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%,20%
133,ΓΑΛΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),35%,20%,20%,25%,20%
137,ΓΕΡΜΑΝΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),30%,20%,30%,20%,20%
147,ΔΗΜΟΣΙΟΓΡΑΦΙΑΣ ΚΑΙ ΜΕΣΏΝ ΜΑΖΙΚΗΣ ΕΠΙΚΟΙΝΏΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),30%,20%,30%,20%,20%
403,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΘΕΣΣΑΛΟΝΙΚΗ),30%,25%,25%,20%,20%
402,ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ {ΣΕΡΡΕΣ),30%,25%,25%,20%,20%
134,ΕΠΙΣΤΗΜΏΝ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΏΓΗΣ ΚΑΙ ΕΚlΑΙΔΕΥΣΗΣ {ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%,
168,ΘΕΑΤΡΟΥ {ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%,
103,ΘΕΟΛΟΓΙΑΣ {ΘΕΣΣΑΙ\ΟΝΙΚΗ),25%,25%,25%,25%,
780,ΘΕΟΛΟΓΙΑΣ, (ΘΕΣΣΑΛΛΟΝΙΚΗ) - ΜΟΥΣΟΥΛΜΑΝΙΚΏΝ ΣΠΟΥΔΏΝ,25%,25%,25%,25%
112,ΙΣΤΟΡΙΑΣ ΚΑΙ ΑΡΧΑΙΠΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),25%,25%,25%,25%,
139,ΙΤΑΛΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),30%,20%,20%,30%,20%
