Κωδικός Τμήματος,Σχολή,link,Πόλη,Πεδία,Εισακτέοι,Βάση 2025,"Συντελεστής Ε.Β.Ε,",Ε.Β.Ε.,Συντελεστής Ε.Β.Ε. Ειδικών μαθημάτων,Ε.Β.Ε. Ειδικών μαθημάτων
128,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",162,16250,1.20,12.60,,
130,"Παιδαγωγικό Δημοτικής Εκπ/σης, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,"I,II,III,IV",206,14575,1.00,10.50,,
132,"Παιδαγωγικό Δημοτικής Εκπ/σης, Κρήτης",http://www.uoc.gr/,Ρέθυμνο,"I,II,III,IV",166,13375,1.00,10.50,,
134,"Επιστημών Προσχολικής Αγωγής & Εκπ/σης, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",120,13875,0.80,08.40,,
136,"Επιστημών της Εκπαίδευσης & της Αγωγής στην Προσχολική Ηλικία, Πατρών",http://www.upatras.gr/,Πάτρα,"I,II,III,IV",138,13000,0.90,09.45,,
140,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",162,15950,0.80,08.40,,
142,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΔΠΘ",http://www.duth.gr/,Αλεξ/πολη,"I,II,III,IV",218,13000,0.80,08.40,,
143,"Παιδαγωγικό Δημοτικής Εκπ/σης, Αιγαίου",http://www.aegean.gr/,Ρόδος,"I,II,III,IV",309,11875,0.80,08.40,,
154,"Εκπαίδευσης & Αγωγής στην Προσχολική Ηλικία, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",95,14800,0.80,08.40,,
156,"Παιδαγωγικό Νηπιαγωγών, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,"I,II,III,IV",223,11905,1.00,10.50,,
158,"Παιδαγωγικό Προσχολικής Εκπ/σης, Κρήτης",http://www.uoc.gr/,Ρέθυμνο,"I,II,III,IV",152,11600,1.00,10.50,,
160,"Επιστημών της Εκπαίδευσης στην Προσχολική Ηλικία, ΔΠΘ",http://www.duth.gr/,Αλεξ/πολη,"I,II,III,IV",192,10750,0.80,08.40,,
162,"Επιστημών της Προσχολικής Αγωγής & του Εκπαιδευτικού Σχεδιασμού, Αιγαίου",http://www.aegean.gr/,Ρόδος,"I,II,III,IV",259,10150,0.80,08.40,,
163,"Κινηματογράφου, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",72,13125,1.20,12.60,,
164,"Παιδαγωγικό Δημοτικής Εκπ/σης, Θεσσαλίας",http://www.uth.gr/,Βόλος,"I,II,III,IV",139,15125,0.80,08.40,,
166,"Παιδαγωγικό Προσχολικής Εκπ/σης, Θεσσαλίας",http://www.uth.gr/,Βόλος,"I,II,III,IV",122,12425,0.80,08.40,,
168,"Θεάτρου, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",62,11425,0.80,08.40,,
173,"Ιστορίας & Φιλοσοφίας της Επιστήμης, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",114,10810,1.00,10.50,,
178,"Παιδαγωγικό Ειδικής Αγωγής, Θεσσαλίας",http://www.uth.gr/,Βόλος,"I,II,III,IV",115,13050,1.00,10.50,,
190,"Νοσηλευτικής, Πελοποννήσου",http://www.uop.gr/,Τρίπολη,III,144,9755,0.85,10.20,,
200,"Επιστήμης & Μηχανικής Υλικών, Κρήτης",http://www.uoc.gr/,Ηράκλειο,"II,III",48,10780,0.80,09.60,,
212,"Δασολογίας & Διαχείρισης Περιβάλλοντος & Φυσικών Πόρων, ΔΠΘ",http://www.duth.gr/,Ορεστιάδα,"II,III,IV",146,8640,0.80,08.40,,
263,"Χημείας, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"II,III",94,17275,1.20,14.39,,
265,"Χημείας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"II,III",167,16590,0.80,09.60,,
267,"Χημείας, Πατρών",http://www.upatras.gr/,Πάτρα,"II,III",172,16240,1.20,14.39,,
269,"Χημείας, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,"II,III",201,15570,1.00,11.99,,
270,"Χημείας, Κρήτης",http://www.uoc.gr/,Ηράκλειο,"II,III",130,15278,1.20,14.39,,
273,"Γεωπονίας, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"II,III",176,14380,1.20,14.39,,
274,"Γεωπονίας, Φυτικής Παραγωγής & Αγροτικού Περιβ/ντος, Θεσσαλίας",http://www.uth.gr/,Βόλος,"II,III",120,11010,0.95,11.39,,
275,"Δασολογίας & Φυσικού Περιβάλλοντος, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"II,III",48,11340,0.80,09.60,,
276,"Περιβάλλοντος, Αιγαίου",http://www.aegean.gr/,Μυτιλήνη,"II,III,IV",122,8550,0.80,08.40,,
